,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label,random
1131,ScPdGe,0.023,0.167833207,MoNiP (P-62m),23,Common non-HH Prototype,0.91
424,LuFeCu,0.023,0.517553793,[Laves(cub)#MgCu2],22,Other non-HH Prototype,0.16
561,BeHfSi,0.023,0.553080782,AsHgK (P63/mmc),12,Common non-HH Prototype,0.28
264,UFeB,0.023,0.615710574,phase_separating,14,Phase Separating,0.48
1475,ZrPdSi,0.023,0.248220159,MgSrSi (Pnma),24,Common non-HH Prototype,-0.55
1755,ErAgGe,0.023,0.154431084,MoNiP (P-62m),29,Common non-HH Prototype,0.42
1489,CeZnGe,0.023,0.328133159,[YPtAs],19,Other non-HH Prototype,0.07
1384,CePtZn,0.023,0.186765998,MgSrSi (Pnma),25,Common non-HH Prototype,0.7
1388,ErCoAl,0.023,0.279659571,[MgZn2],26,Other non-HH Prototype,0.54
1465,ErLiGe,0.022,0.155721063,MoNiP (P-62m),21,Common non-HH Prototype,0.28
487,HoRhSb,0.022,0.04744275,MgSrSi (Pnma),27,Common non-HH Prototype,0.48
482,KHgSb,0.022,0.168284437,AsHgK (P63/mmc),24,Common non-HH Prototype,0.98
626,ZrNiGe,0.022,0.015759655,MgSrSi (Pnma),18,Common non-HH Prototype,-0.85
544,YbCdGe,0.022,0.035548709,MoNiP (P-62m),32,Common non-HH Prototype,0.52
267,MnIrSi,0.022,0.191391406,MgSrSi (Pnma),20,Common non-HH Prototype,-0.28
837,CrCoAs,0.022,0.094489968,MoNiP (P-62m),20,Common non-HH Prototype,-0.15
787,CrMoFe,0.022,0.668824316,phase_separating,20,Phase Separating,0.81
1754,DyAgGe,0.022,0.155057988,MoNiP (P-62m),27,Common non-HH Prototype,0.57
1156,CuZnAs,0.022,0.073382676,[None],28,Other non-HH Prototype,0.96
1162,CaCuBi,0.022,0.031013477,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.51
235,YbLiAs,0.022,0.104364423,MgSrSi (Pnma),24,Common non-HH Prototype,0.97
425,IrCuB,0.022,0.13436264,[CuIrB],23,Other non-HH Prototype,-0.28
630,GdPdSn,0.022,0.092189511,MgSrSi (Pnma),23,Common non-HH Prototype,0.77
40,ZrNiAs,0.022,0.214493239,[HoNiGa],19,Other non-HH Prototype,-0.2
537,CeCdIn,0.022,0.099785442,[CaIn2],18,Other non-HH Prototype,-0.23
734,SmAuIn,0.022,0.101536203,MoNiP (P-62m),22,Common non-HH Prototype,0.12
1518,SrMgAu,0.022,0.153383166,MgSrSi (Pnma),27,Common non-HH Prototype,0.52
1345,TiNbB,0.022,0.313023146,phase_separating,12,Phase Separating,0.65
743,ZrReSi,0.021,0.765499791,MoNiP (P-62m),15,Common non-HH Prototype,0.16
1616,HoPdZn,0.021,0.180254447,MoNiP (P-62m),41,Common non-HH Prototype,0.21
1866,NdMgGa,0.021,0.119012979,MoNiP (P-62m),17,Common non-HH Prototype,-0.17
817,ScReSi,0.021,0.533798149,phase_separating,14,Phase Separating,0.34
1652,HfPdSn,0.021,0,Half Heusler (F-43m),24,Half Heusler,0.67
1224,NbIrGe,0.021,0,MgSrSi (Pnma),18,Common non-HH Prototype,-0.54
1750,IrBiTe,0.021,0.204543699,[FeS2],20,Other non-HH Prototype,1
594,KNaTe,0.021,0.067101473,MgSrSi (Pnma),20,Common non-HH Prototype,0.8
1126,CeMnGa,0.021,0.519569399,[Laves(cub)#MgCu2],13,Other non-HH Prototype,-0.59
999,BaCuAs,0.021,0.375952727,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.04
228,NbCrAl,0.021,0.816068021,[MgZn2],14,Other non-HH Prototype,0.74
857,TiMnSi,0.021,0.523148924,[Fe2P],15,Other non-HH Prototype,0.93
188,NbVNi,0.021,0.597325068,[MgZn2],20,Other non-HH Prototype,-0.47
216,YFeCo,0.021,0.444763848,[Laves(cub)#MgCu2],20,Other non-HH Prototype,-0.84
928,CeAlSi,0.021,0.4991977,[LaPtSi],10,Other non-HH Prototype,0.19
731,EuRhIn,0.021,0.160152392,MgSrSi (Pnma),21,Common non-HH Prototype,0.52
137,GdPtAl,0.021,0.29646935,MgSrSi (Pnma),16,Common non-HH Prototype,-0.01
1901,TiRhSb,0.021,0,Half Heusler (F-43m),18,Half Heusler,0.76
501,MgAgAl,0.021,0.136628101,[MgZn2],22,Other non-HH Prototype,0.28
1012,UPtGa,0.021,0.258205628,MoNiP (P-62m),16,Common non-HH Prototype,0.6
566,ZnInPb,0.021,0.0919285,phase_separating,19,Phase Separating,-0.28
77,YbAgCd,0.021,0.11976227,[MgZn2],39,Other non-HH Prototype,-0.46
43,AuPbTe,0.02,0.175103167,phase_separating,21,Phase Separating,0
250,TmPdGa,0.02,0.220789303,MgSrSi (Pnma),34,Common non-HH Prototype,-0.99
475,LaPdAs,0.02,0.171090552,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.16
255,TmZnAl,0.02,0.141709085,AsHgK (P63/mmc),30,Common non-HH Prototype,0.03
1046,LuTiSi,0.02,0.404285902,[Cu2Sb],11,Other non-HH Prototype,0.31
1383,LuIrSi,0.02,0.461185774,MgSrSi (Pnma),16,Common non-HH Prototype,-0.82
1727,YbIrGe,0.02,0.372815264,MgSrSi (Pnma),29,Common non-HH Prototype,0.86
355,NdPtAl,0.02,0.310415333,MgSrSi (Pnma),19,Common non-HH Prototype,0.7
627,LiYGe,0.02,0.152046196,MoNiP (P-62m),10,Common non-HH Prototype,-0.77
1336,URhIn,0.02,0.242307667,MoNiP (P-62m),15,Common non-HH Prototype,0.97
1230,CdSiTe,0.02,0.695412707,phase_separating,22,Phase Separating,-0.39
1798,MoCoSi,0.02,0.288803948,[MgZn2],19,Other non-HH Prototype,0.95
980,GdPdCd,0.02,0.13210531,MoNiP (P-62m),31,Common non-HH Prototype,0.05
912,LaPdZn,0.02,0.173008969,MgSrSi (Pnma),31,Common non-HH Prototype,-0.97
32,LaScSi,0.019,0.204041036,[UGeTe],10,Other non-HH Prototype,0.45
473,LiCaSb,0.019,0.118749538,MgSrSi (Pnma),16,Common non-HH Prototype,0.83
1799,TiOsGe,0.019,0.308519802,[TiFeSi],16,Other non-HH Prototype,0.88
1274,VCoGe,0.019,0,MgSrSi (Pnma),18,Common non-HH Prototype,-0.12
993,PtBiTe,0.019,0.144574836,[NiSbS],21,Other non-HH Prototype,0.77
1776,HoNiPb,0.019,0.026508662,MgSrSi (Pnma),27,Common non-HH Prototype,-1
1089,CePdIn,0.019,0.169386019,MoNiP (P-62m),22,Common non-HH Prototype,-0.45
1441,GdNiBi,0.019,0,Half Heusler (F-43m),18,Half Heusler,0.56
1849,MoNiSn,0.019,0.386953128,phase_separating,20,Phase Separating,0.15
1736,NbPtGe,0.019,0.212914492,MgSrSi (Pnma),19,Common non-HH Prototype,-0.91
248,MgNiGe,0.019,0.120932925,MgSrSi (Pnma),22,Common non-HH Prototype,-0.31
1033,SmPdHg,0.019,0.119540201,MoNiP (P-62m),36,Common non-HH Prototype,-0.08
1370,ZrFeAs,0.019,0.235581864,[HoNiGa],17,Other non-HH Prototype,0.71
894,ZrReB,0.019,0.674066427,phase_separating,14,Phase Separating,-0.89
110,HoCuTl,0.019,0.086125096,[CaIn2],27,Other non-HH Prototype,0.11
1703,EuMgGe,0.019,0.085409204,MgSrSi (Pnma),21,Common non-HH Prototype,0.03
180,PrPdGa,0.018,0.238675753,MgSrSi (Pnma),24,Common non-HH Prototype,-0.03
1313,SmZnIn,0.018,0.062835958,AsHgK (P63/mmc),23,Common non-HH Prototype,0.25
124,CeNiZn,0.018,0.171317362,MoNiP (P-62m),25,Common non-HH Prototype,-0.51
1028,HoPtAl,0.018,0.282889222,MgSrSi (Pnma),26,Common non-HH Prototype,-0.99
542,MnRuAs,0.018,0.158203936,MoNiP (P-62m),20,Common non-HH Prototype,-0.26
663,NbRuAs,0.018,0.017982518,MgSrSi (Pnma),18,Common non-HH Prototype,-0.29
1349,CaCuGa,0.018,0.240861542,[KHg2],22,Other non-HH Prototype,0.81
1178,TaCrCo,0.018,0.622452002,[MgZn2],20,Other non-HH Prototype,0.18
608,VCrMo,0.018,0.753878091,phase_separating,17,Phase Separating,0.18
725,SrPtCd,0.018,0.140609613,MgSrSi (Pnma),30,Common non-HH Prototype,0.38
1686,LuRuSi,0.018,0.503807178,MgSrSi (Pnma),15,Common non-HH Prototype,0.8
1488,TbRhGa,0.018,0.236499963,MgSrSi (Pnma),23,Common non-HH Prototype,0.53
1298,HfTaSi,0.018,0.573325325,[MgZn2],13,Other non-HH Prototype,-0.94
1411,YNiBi,0.017,0,Half Heusler (F-43m),18,Half Heusler,-0.37
1571,ErAuPb,0.017,0,Half Heusler (F-43m),29,Half Heusler,-0.71
1222,DyAuPb,0.017,0,Half Heusler (F-43m),27,Half Heusler,0.32
156,WAlGe,0.017,0.73227955,phase_separating,13,Phase Separating,-0.58
9,ZrRhGe,0.017,0.229589417,MgSrSi (Pnma),17,Common non-HH Prototype,-0.99
661,EuZnSi,0.017,0.204369645,AsHgK (P63/mmc),25,Common non-HH Prototype,-0.54
490,NdPdZn,0.017,0.190857345,MoNiP (P-62m),34,Common non-HH Prototype,0.28
1900,LaZnAl,0.017,0.115154938,[KHg2],18,Other non-HH Prototype,-0.58
1023,WCoAl,0.017,0.288366355,[MgZn2],18,Other non-HH Prototype,-0.11
478,LiBaSb,0.017,0.171537367,AsHgK (P63/mmc),16,Common non-HH Prototype,0.85
1316,TmLiGe,0.017,0.156770523,MoNiP (P-62m),22,Common non-HH Prototype,0.4
414,ScPdZn,0.017,0.181807648,[YAlGe],31,Other non-HH Prototype,-0.04
269,ThPdAl,0.017,0.235735953,MoNiP (P-62m),23,Common non-HH Prototype,0.28
1459,SrAgIn,0.017,0.173794078,[None],22,Other non-HH Prototype,-0.49
735,SrMgGe,0.017,0.126031213,MgSrSi (Pnma),20,Common non-HH Prototype,0.29
717,SmNiGa,0.017,0.207955301,[HoNiGa],21,Other non-HH Prototype,-0.98
1481,DyNiBi,0.017,0,Half Heusler (F-43m),27,Half Heusler,-0.68
1715,TaRhGe,0.017,0.007897596,MgSrSi (Pnma),18,Common non-HH Prototype,0.24
60,EuAgAs,0.017,0.11499147,AsHgK (P63/mmc),25,Common non-HH Prototype,0.76
1808,CeAuSb,0.016,0.132079062,[YPtAs],19,Other non-HH Prototype,-0.8
27,TiFeGe,0.016,0.28683581,[TiFeSi],16,Other non-HH Prototype,-0.9
564,CrPdAs,0.016,0.091560042,MoNiP (P-62m),27,Common non-HH Prototype,0.09
1679,NdPdPb,0.016,0.067301339,MoNiP (P-62m),26,Common non-HH Prototype,-0.99
759,BaAgAs,0.016,0.232101977,AsHgK (P63/mmc),24,Common non-HH Prototype,0.69
1746,LaRhPb,0.016,0.143950931,MoNiP (P-62m),16,Common non-HH Prototype,-0.41
413,EuAuZn,0.016,0.16869935,MgSrSi (Pnma),32,Common non-HH Prototype,0.57
1057,HoRhAl,0.016,0.276822312,MgSrSi (Pnma),25,Common non-HH Prototype,0.93
1204,LuRhSi,0.016,0.407028378,MgSrSi (Pnma),16,Common non-HH Prototype,0.61
753,HoIrSi,0.016,0.492073391,MgSrSi (Pnma),26,Common non-HH Prototype,0.73
1361,ThNiSn,0.016,0,Half Heusler (F-43m),18,Half Heusler,0.8
398,KPbBi,0.016,0.143150409,[Be5Au],16,Other non-HH Prototype,0.32
1930,UAuGe,0.016,0.291866625,[YPtAs],18,Other non-HH Prototype,-0.76
540,SmPdCd,0.016,0.030407251,MoNiP (P-62m),36,Common non-HH Prototype,0.45
1136,CeMnCu,0.016,0.450874361,phase_separating,21,Phase Separating,0.4
152,LaMnGe,0.016,0.415463477,[PbClF],14,Other non-HH Prototype,0.27
422,HoOsGe,0.016,0.506906667,phase_separating,25,Phase Separating,0.03
256,ScMnSi,0.016,0.417371592,MoNiP (P-62m),14,Common non-HH Prototype,0.51
1421,HoNiBi,0.016,0,Half Heusler (F-43m),28,Half Heusler,-0.57
1393,LiZnSb,0.016,0,LiGaGe (P63mc),20,Common non-HH Prototype,0.17
224,CoGaAs,0.016,0.104991889,phase_separating,17,Phase Separating,-0.45
150,TbRhSb,0.016,0.068467933,MgSrSi (Pnma),25,Common non-HH Prototype,0.35
435,LuPtAs,0.016,0.042880317,[YPtAs],18,Other non-HH Prototype,0.91
1879,RbCaAs,0.015,0.293573265,[PbClF],20,Other non-HH Prototype,0.81
1753,GdZnTl,0.015,0.073303353,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.26
596,ErRhIn,0.015,0.130974429,MoNiP (P-62m),26,Common non-HH Prototype,0.71
1882,SmIrIn,0.015,0.152904396,MoNiP (P-62m),20,Common non-HH Prototype,-0.46
1530,LaPdSi,0.015,0.329215148,[PrPdSi],23,Other non-HH Prototype,0.59
1829,CoGaSb,0.015,0.072105123,phase_separating,17,Phase Separating,0.07
1415,NaLiTe,0.015,0.059585862,MgSrSi (Pnma),16,Common non-HH Prototype,-0.7
1729,PrScSb,0.015,0.345368975,[La2Sb],13,Other non-HH Prototype,-0.77
375,VMnAs,0.015,0.118424612,[Cu2Sb],17,Other non-HH Prototype,-0.27
1759,GaPbSb,0.015,0.210516641,phase_separating,12,Phase Separating,0.91
684,TiNiAs,0.015,0.16941202,MgSrSi (Pnma),19,Common non-HH Prototype,-0.17
1243,SrAgAs,0.015,0.145690525,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.07
1186,NdMgSn,0.015,0.241542762,[La2Sb],18,Other non-HH Prototype,-0.73
1425,BeZrSi,0.015,0.532229065,AsHgK (P63/mmc),12,Common non-HH Prototype,-0.01
1730,BaMgGe,0.015,0.196056745,[PbClF],20,Other non-HH Prototype,-0.21
901,LaRhAl,0.015,0.295309512,[LaNiAl],15,Other non-HH Prototype,-0.28
877,CePtCd,0.014,0.114229374,MoNiP (P-62m),25,Common non-HH Prototype,-0.36
54,CeIrGe,0.014,0.386202026,MgSrSi (Pnma),16,Common non-HH Prototype,0.15
1363,TaCoGe,0.014,0,MgSrSi (Pnma),18,Common non-HH Prototype,0.27
971,NaMnSb,0.014,0.295833895,[PbClF],19,Other non-HH Prototype,0.55
839,GdMgCu,0.014,0.166549474,MoNiP (P-62m),22,Common non-HH Prototype,0.97
1895,TmNiIn,0.014,0.153048276,MoNiP (P-62m),28,Common non-HH Prototype,-0.86
720,LaPdGa,0.014,0.2266932,MgSrSi (Pnma),22,Common non-HH Prototype,-0.45
1455,DyCuCd,0.014,0.169049411,MoNiP (P-62m),35,Common non-HH Prototype,0.4
217,CaGaGe,0.014,0.252761023,[YPtAs],15,Other non-HH Prototype,-0.96
1903,YPtBi,0.014,0,Half Heusler (F-43m),18,Half Heusler,-0.4
1723,URhSb,0.014,0.011351572,Half Heusler (F-43m),17,Half Heusler,-0.82
497,LaYB,0.014,0.437110566,phase_separating,9,Phase Separating,0.08
251,LaPdTl,0.014,0.129928723,MoNiP (P-62m),22,Common non-HH Prototype,-0.93
1774,SmCdTl,0.014,0.124030327,AsHgK (P63/mmc),23,Common non-HH Prototype,-0.95
694,GdIrAl,0.014,0.313943927,MgSrSi (Pnma),15,Common non-HH Prototype,0.45
1301,MgCuSb,0.014,0,Half Heusler (F-43m),24,Half Heusler,0.81
1495,ThCoSn,0.014,0.079082084,MoNiP (P-62m),17,Common non-HH Prototype,-0.67
1374,MgAlSi,0.014,0.165092928,MgSrSi (Pnma),15,Common non-HH Prototype,-0.57
1697,MoGaAs,0.014,0.644717189,phase_separating,14,Phase Separating,0.64
1260,TiMnGe,0.014,0.379467458,[TiFeSi],15,Other non-HH Prototype,0.67
458,SrCuAs,0.014,0.309170355,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.41
958,BaPdSi,0.014,0.725560838,[ZrSO],28,Other non-HH Prototype,-0.56
1902,DyPtBi,0.014,0,Half Heusler (F-43m),27,Half Heusler,-0.34
109,URuSb,0.014,0.093784944,MoNiP (P-62m),16,Common non-HH Prototype,-0.23
704,AuGeSb,0.013,0.081590547,phase_separating,20,Phase Separating,0.22
1898,InGaSb,0.013,0.207244007,phase_separating,11,Phase Separating,0.75
372,TiFeAl,0.013,0.431273668,[MgZn2],15,Other non-HH Prototype,0.1
1395,CrNiSi,0.013,0.345073669,MgSrSi (Pnma),20,Common non-HH Prototype,0.49
1469,WCoSi,0.013,0.322458658,[MgZn2],19,Other non-HH Prototype,0.62
1520,VWSi,0.013,0.690899826,[MgZn2],15,Other non-HH Prototype,0.11
1097,NdNiPb,0.013,0.058459363,MgSrSi (Pnma),20,Common non-HH Prototype,0.33
1634,CeNiIn,0.013,0.14377422,MoNiP (P-62m),16,Common non-HH Prototype,-0.74
1405,LuMnSi,0.013,0.438661503,MgSrSi (Pnma),14,Common non-HH Prototype,-0.28
990,SmScSi,0.013,0.179624522,[La2Sb],15,Other non-HH Prototype,0.53
385,PrRhAl,0.013,0.309873392,MgSrSi (Pnma),17,Common non-HH Prototype,-0.31
1644,DyIrSb,0.013,0.066757735,MgSrSi (Pnma),26,Common non-HH Prototype,0.4
153,HfGeSb,0.013,0.607911072,[UP2#UAs2],13,Other non-HH Prototype,-0.63
1569,RhBiTe,0.013,0.118943457,[FeS2],20,Other non-HH Prototype,0.23
361,CaCdPb,0.013,0.073804432,MoNiP (P-62m),24,Common non-HH Prototype,-0.74
525,ZrSiSb,0.013,0.757418265,[UP2#UAs2],13,Other non-HH Prototype,-0.05
1878,TiCoB,0.013,0.439526355,phase_separating,16,Phase Separating,0.18
1752,DyMgIn,0.013,0.19582476,MoNiP (P-62m),23,Common non-HH Prototype,0.35
1554,GdNiZn,0.013,0.185093604,MoNiP (P-62m),25,Common non-HH Prototype,0.45
1563,PrRhGe,0.013,0.335488069,MgSrSi (Pnma),18,Common non-HH Prototype,-0.65
305,NbSnSb,0.013,0.564052562,[CuAl2],14,Other non-HH Prototype,-0.49
893,ErIrSb,0.013,0.039249736,MgSrSi (Pnma),28,Common non-HH Prototype,0.68
317,DyLiGe,0.013,0.153755564,MoNiP (P-62m),19,Common non-HH Prototype,0.93
576,ZnBiTe,0.013,0.486570296,phase_separating,23,Phase Separating,0.9
1236,LuCoSn,0.013,0.119559381,MgSrSi (Pnma),16,Common non-HH Prototype,0.13
1304,CeRhAs,0.012,0.314115293,MgSrSi (Pnma),17,Common non-HH Prototype,-0.28
148,BaAuAl,0.012,0.391722343,[None],22,Other non-HH Prototype,-0.56
593,TmMnSi,0.012,0.43209141,MgSrSi (Pnma),26,Common non-HH Prototype,0.49
1427,DyCoSi,0.012,0.434366532,MgSrSi (Pnma),25,Common non-HH Prototype,-0.39
388,LaNiAl,0.012,0.255540545,[LaNiAl],16,Other non-HH Prototype,0.4
1090,ErCoSi,0.012,0.41550038,MgSrSi (Pnma),27,Common non-HH Prototype,-0.5
967,NdCuAl,0.012,0.177091227,MoNiP (P-62m),20,Common non-HH Prototype,0.77
800,LaMnSi,0.012,0.436825756,[PbClF],14,Other non-HH Prototype,0.01
1428,SmMgPt,0.012,0.14298123,MoNiP (P-62m),26,Common non-HH Prototype,0.31
884,LaMgTl,0.012,0.134718201,MoNiP (P-62m),14,Common non-HH Prototype,0.09
864,GdPdGa,0.012,0.235458918,MgSrSi (Pnma),22,Common non-HH Prototype,0.66
1037,DyPdTl,0.012,0.142378853,[InMg2],31,Other non-HH Prototype,-0.51
683,ScHfSi,0.012,0.366175297,phase_separating,11,Phase Separating,0.47
1705,ZrIrSi,0.012,0.378705477,MgSrSi (Pnma),17,Common non-HH Prototype,-0.57
1846,ErPtAl,0.012,0.277736147,MgSrSi (Pnma),27,Common non-HH Prototype,0.8
775,NdRhGe,0.012,0.333899135,MgSrSi (Pnma),19,Common non-HH Prototype,-0.83
666,SrPdSi,0.012,0.575003527,[ZrSO],28,Other non-HH Prototype,-0.21
1254,GdPtBi,0.012,0,Half Heusler (F-43m),18,Half Heusler,-0.21
892,SrCdPb,0.012,0.099618437,[KHg2],24,Other non-HH Prototype,0.24
921,EuCuAs,0.012,0.21074914,AsHgK (P63/mmc),25,Common non-HH Prototype,0.61
973,InGeTe,0.012,0.408575653,phase_separating,13,Phase Separating,-0.66
900,NbPtSi,0.012,0.417902936,MgSrSi (Pnma),19,Common non-HH Prototype,-0.63
374,ZrMnSi,0.012,0.504725002,MgSrSi (Pnma),15,Common non-HH Prototype,0.87
169,MgYRh,0.012,0.174743723,MgSrSi (Pnma),20,Common non-HH Prototype,0.04
1531,ErNiBi,0.012,0,Half Heusler (F-43m),29,Half Heusler,0.79
549,TbNiSn,0.012,0.077303881,MgSrSi (Pnma),25,Common non-HH Prototype,-0.21
1040,YbRhGe,0.012,0.325700181,MgSrSi (Pnma),29,Common non-HH Prototype,-0.68
1584,HoCuSi,0.012,0.158294197,AsHgK (P63/mmc),28,Common non-HH Prototype,-0.78
1275,GdAgSi,0.012,0.18723436,MoNiP (P-62m),18,Common non-HH Prototype,-0.1
454,ZrVFe,0.012,0.45372369,[MgZn2],17,Other non-HH Prototype,0.36
1199,TiAuGa,0.011,0.050543082,[InNi2#Co1.75Ge],18,Other non-HH Prototype,0.36
719,LiCoAs,0.011,0.27635003,[Cu2Sb],17,Other non-HH Prototype,-0.74
914,AgAlAs,0.011,0.367608406,phase_separating,19,Phase Separating,0.34
409,PtSbTe,0.011,0.270639696,[FeS2],21,Other non-HH Prototype,-0.29
41,CuSnTe,0.011,0.258845798,phase_separating,21,Phase Separating,-0.65
827,YbNiSn,0.011,0.166328222,MgSrSi (Pnma),30,Common non-HH Prototype,-0.54
28,BaAuSb,0.011,0.229538865,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.03
231,ZrCrCu,0.011,0.612913012,[Laves(cub)#MgCu2],21,Other non-HH Prototype,0.41
1314,HfIrSi,0.011,0.315044467,MgSrSi (Pnma),17,Common non-HH Prototype,0.59
1457,DyNiSi,0.011,0.28839741,MgSrSi (Pnma),26,Common non-HH Prototype,-0.31
312,DyMnSi,0.011,0.421117658,MgSrSi (Pnma),23,Common non-HH Prototype,0.13
49,CrMnSb,0.011,0.226024998,[InNi2#Co1.75Ge],18,Other non-HH Prototype,-0.3
1334,PdInSn,0.011,0,phase_separating,23,Phase Separating,0.75
1733,EuPtSb,0.011,0.173254486,MgSrSi (Pnma),24,Common non-HH Prototype,-0.3
1130,CdHgSn,0.011,0.061896021,phase_separating,28,Phase Separating,0.26
1382,UPtSn,0.011,0.030705715,Half Heusler (F-43m),17,Half Heusler,0
1045,SrHgPb,0.011,0.033740023,LiGaGe (P63mc),24,Common non-HH Prototype,0.77
517,TaCuAl,0.01,0.420273362,[MgZn2],19,Other non-HH Prototype,0.42
828,HfZnAl,0.01,0.331096769,[Laves(cub)#MgCu2],19,Other non-HH Prototype,-0.23
129,YCuIn,0.01,0.128643864,MoNiP (P-62m),17,Common non-HH Prototype,0.04
225,HfTiAl,0.01,0.590036752,phase_separating,11,Phase Separating,0.58
181,GdPdZn,0.01,0.187799488,MoNiP (P-62m),31,Common non-HH Prototype,0.76
843,LuRhGe,0.01,0.283487479,MgSrSi (Pnma),16,Common non-HH Prototype,-0.18
1399,TiCuAl,0.01,0.167234473,[MgZn2],18,Other non-HH Prototype,0.25
1325,RuSiGe,0.01,0.345838741,phase_separating,16,Phase Separating,0.54
56,SrMnGe,0.01,0.502012521,[PbClF],19,Other non-HH Prototype,0.89
797,CrCoB,0.01,0.411937407,[CuAl2],18,Other non-HH Prototype,-0.4
554,EuAuCd,0.01,0.095267033,MgSrSi (Pnma),32,Common non-HH Prototype,-0.98
624,ErIrGa,0.01,0.240845046,MgSrSi (Pnma),26,Common non-HH Prototype,-0.55
1868,PrIrGa,0.01,0.28965439,MgSrSi (Pnma),17,Common non-HH Prototype,0.07
1187,LaPtSi,0.01,0.467802852,[LaPtSi],17,Other non-HH Prototype,0.06
1463,HoIrIn,0.01,0.124808165,MoNiP (P-62m),25,Common non-HH Prototype,-0.31
1092,PrLiGe,0.01,0.132119091,MoNiP (P-62m),12,Common non-HH Prototype,0.95
1698,NiGaTe,0.01,0.18591727,phase_separating,19,Phase Separating,0.2
1377,BeTiV,0.01,0.478617134,phase_separating,13,Phase Separating,-0.47
265,URhGa,0.01,0.306444179,MoNiP (P-62m),15,Common non-HH Prototype,0.31
1485,LaCdTl,0.01,0.125272417,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.75
3,PrPdAl,0.01,0.282858504,MoNiP (P-62m),24,Common non-HH Prototype,-0.7
1434,LuRhAl,0.01,0.259657883,MgSrSi (Pnma),15,Common non-HH Prototype,0.08
1522,YbPtBi,0.01,0.004762193,Half Heusler (F-43m),31,Half Heusler,0.27
1672,LiGaGe,0.01,0,LiGaGe (P63mc),10,Common non-HH Prototype,0.72
1765,LuAuIn,0.01,0.078956044,MoNiP (P-62m),17,Common non-HH Prototype,-0.13
994,UZrNb,0.01,0.762887815,phase_separating,12,Phase Separating,-0.97
1540,IrSbAs,0.01,0.279184904,[CoSb2],19,Other non-HH Prototype,0.43
1320,RhSbAs,0.009,0.186518905,[CoSb2],19,Other non-HH Prototype,0.56
882,YbIrSn,0.009,0.169425618,MoNiP (P-62m),29,Common non-HH Prototype,0.78
1608,ZrGeTe,0.009,0.67218692,[UP2#UAs2],14,Other non-HH Prototype,-0.2
1356,CeMgSn,0.009,0.218199951,MgSrSi (Pnma),15,Common non-HH Prototype,-0.05
1649,FeCoB,0.009,0.234733081,[CuAl2],20,Other non-HH Prototype,0.82
1116,CePdTl,0.009,0.130698604,MoNiP (P-62m),22,Common non-HH Prototype,0.71
1516,ErRhGa,0.009,0.224439374,MgSrSi (Pnma),26,Common non-HH Prototype,0.03
1024,CePdSi,0.009,0.354309883,[PrPdSi],23,Other non-HH Prototype,-0.14
1093,SmPtSi,0.009,0.375519432,[LaPtSi],22,Other non-HH Prototype,0.53
1542,TbNiBi,0.009,0,Half Heusler (F-43m),26,Half Heusler,-0.08
1639,AgAlSn,0.009,0.079946856,phase_separating,18,Phase Separating,0.96
1670,NaMnAs,0.009,0.275719868,[PbClF],19,Other non-HH Prototype,-0.77
954,CaMgAg,0.009,0.161529569,MgSrSi (Pnma),27,Common non-HH Prototype,0.21
1376,ThPtAl,0.009,0.231971151,MoNiP (P-62m),17,Common non-HH Prototype,-0.04
669,TmPdIn,0.009,0.155052118,MoNiP (P-62m),34,Common non-HH Prototype,-0.87
642,UPtAl,0.009,0.325489938,MoNiP (P-62m),16,Common non-HH Prototype,-0.15
592,ScCoGe,0.009,0.289574399,MgSrSi (Pnma),16,Common non-HH Prototype,-0.74
779,LuAlSi,0.009,0.433689867,[YAlGe],10,Other non-HH Prototype,0.45
1108,HoIrAl,0.009,0.296004804,MgSrSi (Pnma),25,Common non-HH Prototype,-0.45
1378,SrNiSi,0.009,0.635684064,[AlB2],22,Other non-HH Prototype,-0.17
1800,HoAlSi,0.009,0.427979636,[YAlGe],20,Other non-HH Prototype,-0.91
1561,MgPtSb,0.009,0,Half Heusler (F-43m),23,Half Heusler,-0.26
1158,AgCdSb,0.009,0.045119462,Half Heusler (F-43m),28,Half Heusler,-0.55
834,AuGaAs,0.009,0.223619245,phase_separating,19,Phase Separating,-0.83
1643,SrPtSn,0.009,0.258824028,MgSrSi (Pnma),22,Common non-HH Prototype,-0.22
672,CePtAl,0.009,0.317404237,MgSrSi (Pnma),16,Common non-HH Prototype,0.81
1412,ErNiSb,0.009,0,Half Heusler (F-43m),29,Half Heusler,-0.19
238,AuBiSb,0.009,0.056821016,phase_separating,21,Phase Separating,0.37
1646,AgSnTe,0.008,0.197658852,phase_separating,21,Phase Separating,0.42
1075,CdSnTe,0.008,0.325128689,phase_separating,22,Phase Separating,-0.21
80,ReGeAs,0.008,0.473578522,[MoAs2],16,Other non-HH Prototype,0.89
